ID,Model_Name,Phase,Energy_kWh,Grid_Intensity_gCO2,Carbon_CO2e_kg,Water_Usage_L,PUE,Source
TRN_0000,GPT-3,Training,1287000,429,552123,2445300,1.1,Patterson et al. (2021)
TRN_0001,BLOOM,Training,433000,57,24681,822700,1.2,Luccioni et al. (2022)
TRN_0003,PaLM,Training,3044000,430,1308920,5783600,1.11,Google (2022)
TRN_0004,Llama-2-70B,Training,2438000,350,853300,4632200,1.1,Meta (2023)
INF_0001,Llama-3-70B,Inference,0.0017446591330972,450,0.0007850966098937,0.0033148523528847,1.12,AI Energy Score (2025)
INF_0002,Llama-3-70B,Inference,0.0002711235334937,250,6.77808833734286E-05,0.000515134713638,1.12,AI Energy Score (2025)
INF_0003,Claude-3.5-Sonnet,Inference,0.0013133933459153,700,0.0009193753421407,0.0024954473572392,1.12,AI Energy Score (2025)
INF_0004,Mistral-Large-2,Inference,0.0003229310211844,450,0.000145318959533,0.0006135689402505,1.12,AI Energy Score (2025)
INF_0005,Mistral-Large-2,Inference,0.0004078894472513,50,2.03944723625676E-05,0.0007749899497775,1.12,AI Energy Score (2025)
INF_0006,Claude-3.5-Sonnet,Inference,0.0003242958525785,700,0.0002270070968049,0.0006161621198991,1.12,AI Energy Score (2025)
INF_0007,Gemini-1.5-Pro,Inference,0.0006229227295336,50,3.11461364766836E-05,0.0011835531861139,1.12,AI Energy Score (2025)
INF_0008,Llama-3-70B,Inference,0.0004380580524166,700,0.0003066406366916,0.0008323102995916,1.12,AI Energy Score (2025)
INF_0009,Llama-3-70B,Inference,0.0005197756512196,250,0.0001299439128049,0.0009875737373173,1.12,AI Energy Score (2025)
INF_0011,Mistral-Large-2,Inference,0.0013283102077404,250,0.0003320775519351,0.0025237893947067,1.12,AI Energy Score (2025)
INF_0012,Mistral-Large-2,Inference,0.0007071067095854,450,0.0003181980193134,0.0013435027482123,1.12,AI Energy Score (2025)
INF_0013,GPT-4o,Inference,0.003377949653923,250,0.0008444874134807,0.0064181043424538,1.12,AI Energy Score (2025)
INF_0015,Gemini-1.5-Pro,Inference,0.000226407016359,700,0.0001584849114513,0.0004301733310821,1.12,AI Energy Score (2025)
INF_0016,Mistral-Large-2,Inference,0.0001654611648532,50,8.27305824266376E-06,0.0003143762132212,1.12,AI Energy Score (2025)
INF_0017,Llama-3-70B,Inference,0.0002001885702872,450,9.00848566292597E-05,0.0003803582835457,1.12,AI Energy Score (2025)
INF_0018,Gemini-1.5-Pro,Inference,0.0029909709781065,250,0.0007477427445266,0.0056828448584025,1.12,AI Energy Score (2025)
INF_0019,GPT-4o,Inference,0.0006405463768886,700,0.000448382463822,0.0012170381160885,1.12,AI Energy Score (2025)
INF_0020,Claude-3.5-Sonnet,Inference,0.0001711443678361,450,7.70149655262651E-05,0.0003251742988886,1.12,AI Energy Score (2025)
INF_0021,Llama-3-70B,Inference,0.0008164245258569,700,0.0005714971680998,0.0015512065991282,1.12,AI Energy Score (2025)
INF_0022,Llama-3-70B,Inference,0.0001800896414166,700,0.0001260627489916,0.0003421703186916,1.12,AI Energy Score (2025)
INF_0023,Claude-3.5-Sonnet,Inference,0.0004660619921242,700,0.0003262433944869,0.000885517785036,1.12,AI Energy Score (2025)
INF_0024,Claude-3.5-Sonnet,Inference,0.0002991789095687,450,0.0001346305093059,0.0005684399281807,1.12,AI Energy Score (2025)
INF_0025,Claude-3.5-Sonnet,Inference,0.0003264106526212,700,0.0002284874568348,0.0006201802399804,1.12,AI Energy Score (2025)
INF_0026,Gemini-1.5-Pro,Inference,0.0004302243610745,50,2.15112180537292E-05,0.0008174262860417,1.12,AI Energy Score (2025)
INF_0027,Mistral-Large-2,Inference,0.0040594961010783,50,0.0002029748050539,0.0077130425920487,1.12,AI Energy Score (2025)
INF_0028,Llama-3-70B,Inference,0.0001643574213851,50,8.21787106925525E-06,0.0003122791006316,1.12,AI Energy Score (2025)
INF_0029,Llama-3-70B,Inference,0.0005266352618179,250,0.0001316588154544,0.0010006069974541,1.12,AI Energy Score (2025)
INF_0030,GPT-4o,Inference,0.0001348098634556,250,3.37024658639068E-05,0.0002561387405656,1.12,AI Energy Score (2025)
INF_0031,GPT-4o,Inference,0.0004679870935802,700,0.0003275909655061,0.0008891754778025,1.12,AI Energy Score (2025)
INF_0032,Gemini-1.5-Pro,Inference,0.0002983653472287,450,0.0001342644062529,0.0005668941597345,1.12,AI Energy Score (2025)
INF_0033,Mistral-Large-2,Inference,0.0001765312312239,700,0.0001235718618567,0.0003354093393255,1.12,AI Energy Score (2025)
INF_0034,Gemini-1.5-Pro,Inference,0.0002875873531766,50,1.43793676588326E-05,0.0005464159710356,1.12,AI Energy Score (2025)
INF_0035,Mistral-Large-2,Inference,0.0003593947143077,250,8.98486785769286E-05,0.0006828499571846,1.12,AI Energy Score (2025)
INF_0036,GPT-4o,Inference,0.0004599748748868,450,0.000206988693699,0.0008739522622849,1.12,AI Energy Score (2025)
INF_0037,Claude-3.5-Sonnet,Inference,0.0020927176200462,50,0.0001046358810023,0.0039761634780878,1.12,AI Energy Score (2025)
INF_0038,Claude-3.5-Sonnet,Inference,0.0002829569130082,250,7.07392282520627E-05,0.0005376181347156,1.12,AI Energy Score (2025)
INF_0039,Gemini-1.5-Pro,Inference,0.0006650527353642,50,3.32526367682116E-05,0.001263600197192,1.12,AI Energy Score (2025)
INF_0040,Llama-3-70B,Inference,0.0008005753018296,250,0.0002001438254574,0.0015210930734764,1.12,AI Energy Score (2025)
INF_0041,GPT-4o,Inference,0.0003961552693347,250,9.90388173336767E-05,0.0007526950117359,1.12,AI Energy Score (2025)
